title,text_intro,gold_keys,list_of_tags
.,"Inspired by energy-fueled phenomena such as cortical cytoskeleton flows [46,45,32] during biological morphogenesis, the theory of active polar viscous gels has been developed [37,33]. The theory models the continuum, macroscopic mechanics of a collection of uniaxial active agents, embedded in a viscous bulk medium, in which internal stresses are induced due to dissipation of energy [41,58]. The energy-consuming uniaxial polar agents constituting the gel are modeled as unit vectors. The average of unit vectors in a small local volume at each point defines the macroscopic directionality of the agents and is described by a polarization field. The polarization field is governed by an equation of motion accounting for energy consumption and for the strain rate in the fluid. The relationship between the strain rate and the stress in the fluid is provided by a constitutive equation that accounts for anisotropic, polar agents and consumption of energy. These equations, along with conservation of momentum, provide a continuum hydrodynamic description modeling active polar viscous gels as an energy consuming, anisotropic, non-Newtonian fluid [37,33,32,41]. The resulting partial differential equations governing the hydrodynamics of active polar viscous gels are, however, in general analytically intractable.
","['polar field', 'uniaxi activ agent', 'activ polar viscou gel', 'equat of motion', 'constitut equat', 'polar viscou gel', 'theori of activ polar viscou gel', 'biolog morphogenesi', 'macroscop mechan', 'fluid', 'these equat', 'cortic cytoskeleton flow', 'along with conserv of momentum', 'non-newtonian fluid', 'gel', 'anisotrop', 'viscou bulk medium', 'model the continuum', 'continuum hydrodynam descript', 'energi consum', 'uniaxi polar agent']","['active polar viscous gels', 'viscous bulk medium', 'cortical cytoskeleton flows', 'uniaxial active agents', 'small local volume', 'uniaxial polar agents', 'continuum hydrodynamic description', 'partial differential equations', 'biological morphogenesis', 'macroscopic mechanics', 'internal stresses', 'unit vectors', 'macroscopic directionality', 'polarization field', 'strain rate', 'theory models', 'constitutive equation', 'energy consuming', 'non-newtonian fluid', 'agents']"
.,"According to the situation that the IT students can not meet the software industry demand for qualified personnel, a “triple-driven” three-dimensional software development practical teaching system was proposed, aiming to improve the software development capabilities and innovation sense of students. This system can effectively improve students the interest of software development and the practical skills and sense of innovation, laying a solid foundation for student after graduation to rapidly integrate into the software development process, meeting the needs of software industry.","['softwar industri', 'softwar develop process', 'softwar develop', '“triple-driven” three-dimension softwar develop practic teach system', 'improv the softwar develop capabl and innov sens of student', 'practic skill']","['software development capabilities', 'software development process', 'software industry demand', 'qualified personnel', 'practical skills', 'solid foundation', 'innovation sense', 'sense', 'situation', 'students', 'system', 'interest', 'graduation']"
.,"Despite the fact that SRC-HE reduces the number of FEs, audio measurements extraction based on SRC would still be not suitable for real-time applications [39]. The previous SRC-HE module is then replaced by the generalised cross correlation phase transform (GCC-PHAT) introduced in Section 2.1, as this does not involve cumbersome point function estimations. The drawback is that the basic GCC algorithm can only detect one source at a time and it is known to be sensitive to room reverberations [5], however it is still effective under moderate reverberant environments (T60≈0.3s) [40]. For these reasons, at first experiments where only a speaker is active at any given time are carried out, as it often happens in a polite conversation between two or more people. Speech segments using a voice activity detector (VAD) [41] are further extracted and processed using a GCC-PHAT step, for the signal to be more robust to reverberations. Thus, the measure vector obtained za (see Section 2.1) can now be rewritten as za={τm(t)}, where each component τm is the TDOA collected at the m-th microphone pair at each time step t. Since TDOAs are not linear in the speaker position, they must be input into an extended Kalman filter (EKF), as in [10] to get an audio position estimation.
","['src-he', 'kalman filter', 'gcc-phat', 'm-th microphon pair', 'gcc-phat step', 'audio posit estim', 'gcc algorithm', 'ekf', 'generalis cross correl phase transform', 'speech segment', 'vad', 'voic activ detector', 'speaker']","['cross correlation phase transform', 'cumbersome point function estimations', 'audio measurements extraction', 'basic gcc algorithm', 'moderate reverberant environments', 'voice activity detector', 'm-th microphone pair', 'audio position estimation', 'previous src-he module', 'real-time applications', 'polite conversation', 'speech segments', 'measure vector', 'speaker position', 'room reverberations', 'gcc-phat step', 'time step', 'src-he', 'speaker', 'time']"
.,"Room temperature powder X-ray diffraction (XRD) was performed on a PANalytical Empyrean diffractometer. The obtained XRD patterns were analysed with STOE Win XPOW software in order to determine phase purity, the crystal structure and the cell parameters of the samples. Thermogravimetric analysis (TGA) was performed using a Netzsch STA 449C instrument equipped with Proteus thermal analysis software. The TGA studies were carried out under reducing conditions (5% H2/Ar) from room temperature to 900°C, in order to determine the weight change of the perovskite during the reduction. The microstructure of the samples' surface was analysed using a JEOL JSM-6700 field emission 74 scanning electron microscope (FEG-SEM). The total conductivity of the samples was measured using a conventional four-terminal method. Bar samples were prepared by calcination at 1300°C for 1h. Gold wire contacts were attached to the bars, which then were cured at 850°C for 1h. The conductivity of the samples was measured under a redox cycle at 900°C. Low oxygen partial pressure was achieved by using a continuous flow of 5% H2/Ar.
","['redox cycl', 'field emiss 74 scan electron microscop', 'cell paramet', 'four-termin method', 'stoe win xpow softwar', 'tga', 'calcin', 'powder x-ray diffract', '5% h2/ar', 'panalyt empyrean diffractomet', 'phase puriti', 'xrd', 'crystal structur', 'gold wire contact', 'conduct', 'feg-sem', 'h2/ar', 'flow', 'proteu thermal analysi softwar', 'low oxygen partial pressur', 'weight chang', 'reduc condit', 'xrd pattern', 'perovskit', 'total conduct', 'thermogravimetr analysi', 'netzsch sta 449c instrument']","['stoe win xpow software', 'netzsch sta 449c instrument', 'low oxygen partial pressure', 'proteus thermal analysis software', 'panalytical empyrean diffractometer', 'conventional four-terminal method', 'gold wire contacts', 'room temperature', 'phase purity', 'crystal structure', 'cell parameters', 'weight change', 'electron microscope', 'redox cycle', 'continuous flow', 'xrd patterns', 'tga studies', 'bar samples', 'analysis', 'xrd']"
.,"Longitudinal beam and target single-spin asymmetries have been at the center of the attention lately, since they have been measured by the HERMES and CLAS experimental Collaborations [1–4] and more measurements are planned. They were originally believed to be signals of the so-called T-odd fragmentation functions [5], in particular, of the Collins function [6–12]. However, both types of asymmetry can receive contributions also from T-odd distribution functions [13–16], a fact that has often been neglected in analyses. An exhaustive treatment of the contributions of T-odd distribution functions has not been carried out completely so far, especially up to subleading order in an expansion in 1/Q, Q2 being the virtuality of the incident photon and the only hard scale of the process, and including quark mass corrections. It is the purpose of the present work to describe the longitudinal beam and target spin asymmetries in a complete way in terms of leading and subleading twist distribution and fragmentation functions. We consider both single-particle inclusive DIS, e+p→e′+h+X, and single-jet inclusive DIS, e+p→e′+jet+X. We assume factorization holds for these processes, even though at present there is no factorization proof for observables containing subleading-twist transverse-momentum dependent functions (only recently proofs for the leading-twist case have been presented in Refs. [17,18]).
","['exhaust treatment of the contribut of t-odd distribut function', 'receiv contribut also from t-odd distribut function', 'herm and cla experiment collabor', 'collin function', 'fragment function', 't-odd fragment function', 'quark', 'single-particl inclus di', 'e+p→e′+jet+x', 'single-jet inclus di', 'quark mass correct', 'sublead order in an expans in\xa01/q', 'factor proof for observ contain subleading-twist transverse-momentum depend function', 't-odd distribut function', 'factor', 'e+p→e′+h+x', 'describ the longitudin beam and target spin asymmetri', 'subleading-twist transverse-momentum depend function', 'longitudin beam and target single-spin asymmetri', 'twist distribut', 'incid photon', 'proof for the leading-twist case']","['clas experimental collaborations', 't-odd distribution functions', 'quark mass corrections', 'subleading twist distribution', 'single-particle inclusive dis', 'single-jet inclusive dis', 't-odd fragmentation functions', 'target spin asymmetries', 'longitudinal beam', 'collins function', 'exhaustive treatment', 'incident photon', 'hard scale', 'leading-twist case', 'present work', 'factorization proof', 'center', 'attention', 'hermes', 'measurements']"
.,"MINERAL (MINeral ERror AnaLysis) is a new MATLAB® based program that provides mineral formula recalculations combined with the associated propagation of the analytical uncertainties. Methods are based on the work of Giamarita and Day (1990). However, additional features have been added to provide users with greater flexibility in data reporting. Many programs exist to recalculate wt% data into formula unit cations. Some generalized programs can be used to recalculate the formula of multiple minerals e.g. CALCMIN (Brandelik, 2009) and HYPER-FORM (De Bjerg et al., 1992). Other programs are mineral specific e.g. AMPH CLASS (Esawi, 2004) and PROBE AMPH (Tindle and Webb, 1994) for the recalculation of amphibole analyses; ILMAT (Lepage, 2003) for the recalculation of magnetite and ilmenite; and PX-NOM (Sturm, 2002) for the recalculation of pyroxene analyses. MINERAL provides a rapid method for the recalculation of multiple common minerals. However, its strength lies in the fact that is the first tool to incorporate the associated uncertainty propagation calculations. As these are performed concurrently with the standard recalculations, no additional time is needed to perform uncertainty propagation. While an understanding of the underlying calculations is strongly recommended, MINERAL is designed to allow users with little or no experience operating MATLAB® and/or performing mineral formula recalculations and uncertainty propagation to undertake both with ease.
","['recalcul of multipl common miner', 'provid miner formula recalcul combin with the associ propag of the analyt uncertainti', 'to provid user with greater flexibl in data report', 'recalcul of pyroxen analys', 'calcmin', 'probe amph', 'hyper-form', 'recalcul of amphibol analys', 'miner', 'allow user with littl or no experi oper matlab® and/or perform miner formula recalcul and uncertainti propag to undertak both with eas', 'recalcul the formula of multipl miner', 'method', 'recalcul of magnetit and ilmenit', 'ilmat', 'incorpor the associ uncertainti propag calculations.', 'px-nom', 'amph class', 'a new matlab® base program', 'miner (miner error analysis)', 'some gener program']","['formula unit cations', 'mineral error analysis', 'multiple common minerals', 'mineral formula recalculations', 'uncertainty propagation calculations', 'standard recalculations', 'analytical uncertainties', 'additional features', 'greater flexibility', 'data reporting', 'amph class', 'probe amph', 'amphibole analyses', 'pyroxene analyses', 'rapid method', 'additional time', 'generalized programs', 'formula', 'propagation', 'calculations']"
.,"The boundary element method (BEM) has clear advantages when applied to shape optimisation of high-voltage devices, see [4–8] for an introduction to BEM. First of all, BEM relies only on a surface discretisation so that there is no need to maintain an analysis-suitable volume discretisation during the shape optimisation process. Moreover, BEM is ideal for solving problems in unbounded domains that occur in electrostatic field analysis. In gradient-based shape optimisation the shape derivative of the cost functional with respect to geometry perturbations is needed [9–11]. To this purpose, we use the adjoint approach and solve the primary and the adjoint boundary value problems with BEM. The associated linear systems of equations are dense and an acceleration technique, such as the fast multipole method [12,13], is necessary for their efficient solution. For some recent applications of fast BEM in shape optimisation and Bernoulli-type free-boundary problems we refer to [14–16].
","['boundari element method', 'shape optimis of high-voltag devic', 'bernoulli-typ free-boundari problem', 'shape optimis', 'adjoint approach', 'electrostat field analysi', 'shape deriv', 'gradient-bas shape optimis', 'solv problem in unbound domain', 'fast bem in shape optimis', 'fast multipol method', 'primari and the adjoint boundari valu problem', 'surfac discretis', 'bem']","['electrostatic field analysis', 'boundary element method', 'fast multipole method', 'bernoulli-type free-boundary problems', 'shape optimisation process', 'surface discretisation', 'adjoint boundary', 'shape derivative', 'clear advantages', 'high-voltage devices', 'unbounded domains', 'cost functional', 'geometry perturbations', 'adjoint approach', 'linear systems', 'acceleration technique', 'efficient solution', 'recent applications', 'fast bem', 'optimisation']"
.,"According to the shortcomings of long time and big errors about the moving plate recognition system, we present the moving plate recognition algorithm based on principal component analysis(PCA) color extraction. On the basis of the analysis of moving plate recognition system's basic principles, it introduces the basic principles and calculation steps about PCA extraction algorithm, and discusses the feasibility of applying the algorithm to PRS in the paper. The experimental results show that the algorithm has the advantages of faster speed and higher accuracy of recognition. The algorithm provides a new thought for the research on the moving plate recognition algorithm.","['pca', 'princip compon analysi', 'recognit', 'move plate recognit', 'appli the algorithm to pr', 'move plate recognit algorithm', 'pr', 'color extraction.', 'move plate recognit system', ""analysi of move plate recognit system' basic principl"", 'pca extract algorithm', 'research on the move plate recognit algorithm']","['plate recognition system', 'principal component analysis', 'basic principles', 'pca extraction algorithm', 'color extraction', 'long time', 'big errors', 'calculation steps', 'experimental results', 'faster speed', 'higher accuracy', 'recognition', 'pca', 'analysis', 'algorithm', 'shortcomings', 'basis', 'feasibility', 'prs', 'paper']"
.,"The thermodynamics of copper-zinc alloys (brass) was subject of numerous investigations. Brass is characterised by an excess enthalpy and excess entropy of mixing, both of which are negative. The enthalpic data were measured by solution calorimetry e.g., [1–3] and based on chemical potential data calculated from phase equilibrium experiments e.g., [4–6], the excess entropy of mixing could be evaluated e.g., [7–9]. This excess entropy contains both, the vibrational and the configurational parts. The excess vibrational entropy, defined as the deviation from the entropy of a mechanical mixture of the end members A and B (i.e., Smmechmix=XASmA+XBSmB), can be determined by measuring the low temperature heat capacity (5 to 300K) versus composition behaviour. The determination of the excess configurational entropy, i.e., the excess entropy coming from non-random atomic distributions and defects, is much more difficult. Here, neutron scattering investigations together with computer simulations are normally used. If, however, reliable data of the total excess entropy (from enthalpic and chemical potential data) are available, the measurement of the excess vibrational entropy enables the determination of the excess configurational entropy simply by subtraction. Since configurational and vibrational entropies may have different temperature dependencies, it is worthwhile to separate the entropic effects. This is one aim of this study. Another aim is to deliver experimental data so that first principles studies can test their models on a disordered alloy, whose structural details (short-range order) depend on temperature.
","['copper-zinc alloy', 'vibrat and the configur part', 'excess entropi of mix', 'measur the low temperatur heat capac (5 to 300k) versu composit behaviour', 'enthalp and chemic potenti data', 'excess configur entropi', 'thermodynam of copper-zinc alloy (brass)', 'neutron scatter investig', 'measur of the excess vibrat entropi', 'deliv experiment data', 'comput simul', 'excess enthalpi and excess entropi of mix', 'subtract', 'determin of the excess configur entropi', 'phase equilibrium experi', 'disord alloy', 'brass', 'chemic potenti data', 'enthalp data', 'smmechmix=xasma+xbsmb', 'solut calorimetri', 'reliabl data of the total excess entropi', 'experiment data', 'separ the entrop effect']","['low temperature heat capacity', 'phase equilibrium experiments', 'non-random atomic distributions', 'neutron scattering investigations', 'chemical potential data', 'total excess entropy', 'excess vibrational entropy', 'numerous investigations', 'excess enthalpy', 'reliable data', 'experimental data', 'temperature dependencies', 'configurational parts', 'vibrational entropies', 'copper-zinc alloys', 'solution calorimetry', 'mechanical mixture', 'end members', 'composition behaviour', 'computer simulations']"
.,"After all micro elements reach a relaxed steady-state, measurements are obtained using a cumulative averaging technique to reduce noise. Each micro element is divided into spatially-oriented bins in the y-direction in order to resolve the velocity and shear-stress profiles. Velocity in each bin is measured using the Cumulative Averaging Method (CAM) [24], while the stress tensor field is measured using the Irving–Kirkwood relationship [25]. A least-squares polynomial fit to the data is performed, which helps reduce noise further. The fit produces a continuous function that avoids stability issues arising from supplying highly fluctuating data to the macro solver. A least-squares fit is applied to an Nth order polynomial for the velocity profile in the core region, and an Mth order polynomial for the velocity profile in the constrained region:(16)〈ui,core〉=∑k=1Nbk,iyi′(N−k),for 0⩽yi′⩽hcore, and(17)〈ui,cs〉=∑k=1Mck,iyi″(M−k),for 0⩽yi″⩽hcs, where bk,i and ck,i are the coefficients of the polynomials used in the core micro region and constrained region respectively. An estimate of the new slip velocity uB for input to the macro solution (6) is taken directly from the compressed wall micro-element solution (16), at yi′=0.
","['divid into spatially-ori bin', 'mth order polynomi', 'nth order polynomi', 'veloc', 'compress wall micro-el solut', 'macro solver', 'cumul averag techniqu', 'continu function', 'cam', 'suppli highli fluctuat data to the macro solver', 'irving–kirkwood relationship', 'cumul averag method', 'polynomi', 'stabil issu', 'least-squar fit', 'resolv the veloc and shear-stress profil', 'new slip veloc', 'reduc nois', 'least-squar polynomi fit', 'shear-stress profil', 'macro solut', 'stress tensor field']","['cumulative averaging technique', 'stress tensor field', 'wall micro-element solution', 'nth order polynomial', 'slip velocity ub', 'least-squares polynomial fit', 'core micro region', 'macro solution', 'micro elements', 'relaxed steady-state', 'shear-stress profiles', 'continuous function', 'stability issues', 'constrained region', 'velocity profile', 'order', 'fit', 'region', 'velocity', 'measurements']"
.,"We used 2μm of ultra-nanocrystalline diamond (UNCD) grown by chemical vapour deposition (CVD) on a ∼520μm silicon carrier wafer from Advanced Diamond Technologies Ltd. Detailed information about the material and the stamp fabrication can be found in our earlier paper [16]. The UNCD wafer was scribed into 1×1cm2 samples and subjected to RCA cleaning (SC-1), followed by ultrasonic solvent cleaning. Nanofeature stamps were then created from the samples using conventional electron beam lithography (EBL) with negative tone electron sensitive resist, hydrogen silsesquioxane (HSQ). An Al discharge layer was required above the resist to prevent e-beam deflection due to charge build-up on the surface [17]. Several stamps were produced with this process and the pattern written varied in design but consisted of arrays of circular pillars. After EBL and HSQ development, the HSQ was used as an etch mask for RIE with a mixture of oxygen and argon gas. The etched diamond nanopillars were typically 225nm high. Fig. 1 displays a scanning electron micrograph of some typical stamp features.
","['vapour', 'etch mask', 'ebl', 'ebl and hsq develop', 'argon ga', 'uncd', 'nanofeatur stamp were then creat from the sampl', 'prevent e-beam deflect due to charg build-up on the surfac', 'circular pillar', 'convent electron beam lithographi', 'neg tone electron sensit resist', 'hydrogen silsesquioxan', 'uncd wafer', 'hsq', 'cvd', 't', 'ultrason solvent clean', 'chemic vapour deposit', 'ultra-nanocrystallin diamond', 'rca clean', 'sever stamp were produc', 'oxygen', 'scan electron micrograph', 'Al discharg layer', 'rie', 'etch diamond nanopillar']","['negative tone electron sensitive resist', 'conventional electron beam lithography', 'chemical vapour deposition', 'al discharge layer', 'advanced diamond technologies', 'etched diamond nanopillars', 'ultrasonic solvent cleaning', 'typical stamp features', 'electron micrograph', 'stamp fabrication', 'uncd wafer', 'rca cleaning', 'detailed information', 'earlier paper', 'hydrogen silsesquioxane', 'e-beam deflection', 'circular pillars', 'etch mask', 'argon gas', 'resist']"
.,"By referring to many relevant data and essays, this paper aims at discussing and analyzing the importance of hip-push applied in walking race,based on the point of the view on sports biomechanics .With redard to the existing problems,the authors have made an objective analysis on the sports-biomechanics factors that can influence the race,hoping to provide a theoretical basis for the deep development and training of walking race.","['discuss and analyz the import of hip-push appli in walk race', 'deep develop and train of walk race', 'hip-push', 'sport biomechan', 'theoret basi', 'data and essay', 'object analysi on the sports-biomechan factor']","['relevant data', 'sports biomechanics', 'objective analysis', 'theoretical basis', 'deep development', 'essays', 'paper', 'importance', 'hip-push', 'race', 'point', 'view', 'redard', 'problems', 'authors', 'training']"
.,"There have been suggestions that electrons can be trapped in the bulk and at surfaces of silica [15] but new models of electron trapping centres started to appear only recently. It has been suggested by Bersuker et al., who used molecular models, that electrons can be trapped by Si–O bonds in a-SiO2 leading to their weakening and thus facilitating Si–O bond dissociation [16]. Further calculations by Camellone et al. have shown that electrons can spontaneously trap in non-defective continuum random network model of a-SiO2 [17]. Recent calculations have also demonstrated that the two dominant neutral paramagnetic defects at surfaces of a-SiO2, the non-bridging oxygen centre and the silicon dangling bond, are deep electron traps and can form the corresponding negatively charged defects [18]. However, these theoretical predictions have not yet been confirmed experimentally, emphasising the challenges for identifying defect centres.
","['electron trap centr', 'neutral paramagnet defect', 'electron', 'neg charg defect', 'silica', 'a-sio2', 'deep electron trap', 'surfac of a-sio2', 'trap', 'identifi defect centr', 'non-defect continuum random network model', 'non-bridg oxygen centr', 'spontan trap', 'silicon dangl bond', 'bulk', 'si–o bond', 'si–o bond dissoci', 'trap in the bulk and at surfac of silica', 'weaken', 'a-sio2 lead', 'molecular model']","['dominant neutral paramagnetic defects', 'deep electron traps', 'electron trapping centres', 'defect centres', 'oxygen centre', 'theoretical predictions', 'molecular models', 'recent calculations', 'defects', 'bond', 'models', 'calculations', 'suggestions', 'electrons', 'bulk', 'surfaces', 'silica', 'a-sio2', 'weakening', 'silicon']"
.,"Two-state models are often insufficient to fit complex traces, therefore we also study the approximate fitting of large M3PPs. In the single class setting, a known limitation of MMPPs is the inability to simultaneously fit many statistical descriptors due to the non-linearity of their underlying equations (Bodrog, Heindl, Horváth, & Telek, 2008; Heindl, Horváth, & Gross, 2006; Horváth & Telek, 2009). This has led to the definition of several approaches to fit complex traces by composing multiple small-sized MMPPs or MAPs using Kronecker operators (Andersen & Nielsen, 1998; Casale, Zhang, & Smirni, 2010; Horváth & Telek, 2002). These methods employ composition operators for moment fitting, offering a different trade-off between computational cost and fitting accuracy compared to fitting methods based on the EM algorithm (Breuer, 2002; Horváth & Okamura, 2013; Klemm, Lindemann, & Lohmann, 2003). In particular, the superposition operator allows one to describe a trace by the statistical multiplexing of several MMPPs, at the expense of an exponential growth of the number of states in the resulting process (Sriram & Whitt, 1986). This state space explosion is an obstacle for the application of MMPPs and MAPs to modeling real systems; for example it considerably slows down, or even renders infeasible, the numerical evaluation of queueing models by matrix geometric methods (Bini, Meini, Steffé, Pérez, & Houdt, 2012; Pérez, Velthoven, & Houdt, 2008).
","['mmpp', 'underli equat', 'numer evalu of queue model', 'compos multipl small-siz mmpp or map', 'model real system', 'studi the approxim fit of larg m3pp', 'mmpp and map', 'state space explos', 'EM algorithm', 'm3pp', 'matrix geometr method', 'superposit oper', 'fit method', 'statist multiplex of sever mmpp', 'composit oper', 'statist descriptor', 'kroneck oper', 'two-stat model']","['single class setting', 'state space explosion', 'matrix geometric methods', 'multiple small-sized mmpps', 'complex traces', 'approximate fitting', 'large m3pps', 'statistical descriptors', 'moment fitting', 'computational cost', 'fitting accuracy', 'em algorithm', 'superposition operator', 'statistical multiplexing', 'exponential growth', 'real systems', 'numerical evaluation', 'two-state models', 'composition operators', 'methods']"
.,"The measurements presented here provide evidence for the existence of di-cluster structures in 10–12,14Be. Certainly, if the breakup process samples the overlap between the wavefunctions of the ground state and the excited states, the first-chance cluster breakup cross-sections, shown in Fig. 4(a), indicate that the xHe+A−xHe cluster structure does not decrease over the mass range A=10, 12 and 14. Given also that the decay energy threshold increases with mass number, the present data may even indicate a slight increase in clustering. The breakup cross-sections also appear to demonstrate that these nuclei possess a stronger structural overlap with an α–Xn–α configuration, although the reaction mechanics by which this final state is reached may be complex. That is to say that the dominant structural mode of the neutron rich isotopes may be identified with two alpha-particles plus valence neutrons. These comprehensive measurements of the neutron-removal and cluster breakup for the first time provide experimental data whereby the structure of the most neutron-rich Be isotopes can be modeled via their reactions.
","['comprehens measur of the neutron-remov and cluster breakup', 'domin structur mode', 'di-clust structur', 'first-chanc cluster breakup cross-sect', 'neutron rich isotop', 'reaction mechan', 'decay energi', 'cluster breakup', 'wavefunct of the ground state and the excit state', 'neutron-remov', 'nuclei', 'alpha-particl', 'neutron-rich Be isotop', 'xhe+a−xh cluster structur', 'valenc neutron', 'breakup cross-sect', 'breakup process']","['decay energy threshold increases', 'dominant structural mode', 'stronger structural overlap', 'breakup cross-sections', 'cluster breakup', 'breakup process', 'mass number', 'di-cluster structures', 'ground state', 'excited states', 'present data', 'slight increase', 'final state', 'valence neutrons', 'experimental data', 'comprehensive measurements', 'overlap', 'structure', 'isotopes', 'measurements']"
.,"One of the great successes of the experimental program carried out at LEP has been to put a firm lower bound on the Higgs mass, mH>114 GeV [1], and at the same time, together with the information coming from SLD, to give a strong indirect evidence that the Higgs boson, the still missing particle of the Standard Model (SM), should be relatively light with a high probability for its mass to be below 200 GeV. The search for the Higgs boson is one of the main objective of the Tevatron and the future Large Hadron Collider (LHC), that are supposed to span all the Higgs mass regions up to 1 TeV. At hadron colliders the main Higgs production mechanism is the gluon fusion [2], a process whose knowledge is fundamental in order to put limits on the Higgs mass or, in case the Higgs is discovered, to compare the measured cross section with the SM result. Concerning the Higgs decay channels, it is quite difficult for an hadron collider to access part of the mass range favored by the LEP results, the so-called intermediate Higgs mass region 114≲mH≲160 GeV, because of the large QCD background to the dominant modes. In this region the rare decay H→γγ is the most interesting alternative to the usual decay channels.
","['(lhc)', 'SM', 'larg hadron collid', 'higg mass', 'higg', 'access part of the mass rang favor by the lep result', 'standard model', 'qcd background', 'main higg product mechan', 'part of the mass rang favor by the lep result', 'hadron collid', 'compar the measur cross section with the SM result', 'sld', 'decay channel', 'put limit on the higg mass', 'higg boson', 'the search for the higg boson', 'rare decay', 'particl', 'put a firm lower bound on the higg mass', 'gluon fusion', '114≲mh≲160\xa0gev', 'h→γγ', 'span all the higg mass region up to 1\xa0tev', 'mh>114\xa0gev', 'tevatron', 'higg product mechan', 'higg decay', 'intermedi higg mass region']","['main higgs production mechanism', 'future large hadron collider', 'large qcd background', 'strong indirect evidence', 'usual decay channels', 'higgs decay channels', 'higgs mass regions', 'main objective', 'great successes', 'experimental program', 'firm lower', 'standard model', 'high probability', 'gluon fusion', 'cross section', 'sm result', 'mass range', 'dominant modes', 'interesting alternative', 'lep results']"
.,"The optimised structure at the B3LYP/aug-cc-pVTZ level was then used to perform calculations of the lowest electronic singlet excited states with the coupled cluster linear response (LR) coupled cluster hierarchy CCS, CC2, CCSD and CC3, along with perturbative corrected methods CIS(D) and CCSDR(3). The correlated response methods were performed with an all-electron atomic natural orbital (ANO) basis set contracted to 6s5p4d3f1g on manganese, [47] together with the cc-pVTZ basis set on the oxygen atoms. The all-electron correlated calculations invoked a 13 orbital frozen core (O 1s, Mn 1s2s2p3s3p). Trial calculations correlating these orbitals only had a minor effect on excitation energies. For comparison the EOM-CCSD method with the cc-pVTZ basis on all atoms was tested to compare with LR-CCSD. These formally give exactly the same excitation energies, although the transition moments are more accurate for LR-CCSD. Abelian symmetry (D2) was used in all correlated excited state calculations.
","['cc2', 'b3lyp/aug-cc-pvtz', 'perturb correct method', '6s5p4d3f1g', 'cc', 'optimis structur', 'ano', 'cc3', 'correl respons method', 'coupl cluster hierarchi', 'eom-ccsd method', 'lr-ccsd', 'all-electron correl calcul', 'cis(d)', 'D2', 'linear respons', 'Mn', 'atom natur orbit', 'oxygen', 'ccsdr(3)', 'lowest electron singlet', 'cc-pvtz', 'abelian symmetri', 'excit state calcul', 'excit energi', 'LR', 'O', 'ccsd', 'manganes', 'transit moment']","['all-electron atomic natural orbital', 'lowest electronic singlet', 'cluster linear response', 'cluster hierarchy ccs', 'correlated response methods', 'excited state calculations', 'methods cis', 'optimised structure', 'basis set', 'cc-pvtz basis', 'mn 1s2s2p3s3p', 'minor effect', 'excitation energies', 'eom-ccsd method', 'transition moments', 'abelian symmetry', 'trial calculations', 'oxygen atoms', 'all-electron', 'calculations']"
.,"Three Runge–Kutta IMEX schemes were tested by Ullrich and Jablonowski [23] for the HEVI solution of the equations governing atmospheric motion. They tested the ARS(2,3,2) scheme of Ascher et al. [1] and also suggested the less computationally expensive but nearly as accurate Strang carryover scheme. This involves Strang splitting but the first implicit stage is cleverly re-used from the final implicit stage of the previous time-step and so there is only one implicit solution per time-step. Another novel approach taken by Ullrich and Jablonowski [23] is to use a Rosenbrock solution in order to treat all of the vertical terms implicitly rather than just the terms involved in wave propagation. A Rosenbrock solution is one iteration of a Newton solver. This circumvents the time-step restriction associated with vertical advection at the cost of slowing the vertical advection.
","['strang split', 'wave propag', 'vertic advect', '3', 'rosenbrock solut', 'ars(2', 'newton solver', 'one iter of a newton solver', 'runge–kutta imex scheme', 'strang carryov scheme', 'time-step restrict', 'atmospher motion', '2) scheme', 'hevi solut', 'slow the vertic advect']","['accurate strang carryover scheme', 'final implicit stage', 'strang splitting', 'implicit solution', 'hevi solution', 'atmospheric motion', 'rosenbrock solution', 'wave propagation', 'newton solver', 'vertical advection', 'previous time-step', 'time-step restriction', 'vertical terms', 'scheme', 'time-step', 'terms', 'equations', 'ars', 'expensive', 'approach']"
.,"As future work on the protocol, we would promote two items. Firstly, the two mobility models that we have considered in this work propose possible way to capture social context in the way nodes move in the physical space, yet still potentially allowing nodes to explore the geographical regions considered in its entirety. Further insights to the performance potential could be given through the assessment of the protocol with other mobilities that can extend the physical region of movement as well as impose potential restrictions on the nodes mobility, for example by forcing similar nodes to move within specifically defined areas. Secondly, the different forwarding modes introduced in Section  3.3 express different levels of cooperation across the network. The push-community mode, for example, is a form of interest-community selfishness and assumes reciprocation in the nodes’ behaviour. The vulnerability (resp. resilience) of the protocol to different instances of node misbehaviours is a research item worth exploring.
","['physic space', 'push-commun mode', 'impos potenti restrict', 'node mobil', 'forc similar node to move within specif defin area', 'geograph region', 'network', 'protocol', 'extend the physic region of movement', 'mobil model', 'node', 'perform potenti', 'forward mode']","['research item worth', 'mobility models', 'social context', 'physical space', 'geographical regions', 'performance potential', 'physical region', 'potential restrictions', 'forwarding modes', 'push-community mode', 'node misbehaviours', 'future work', 'nodes mobility', 'work', 'nodes', 'protocol', 'items', 'entirety', 'insights', 'assessment']"
